Ticker,Price,P/E Ratio,P/S Ratio,P/B Ratio,ROE,EV/EBITDA,1M Return,3M Return,6M Return,12M Return
MMM,148.3500,18.7400,3.2600,17.8900,0.9475,,0.0732,-0.0390,0.1496,0.5121
AOS,64.3100,17.9900,2.4000,5.0000,0.2797,,-0.0523,-0.0277,-0.1387,-0.2168
ABT,133.5800,17.3300,5.4900,4.7600,0.3066,,0.0216,-0.0276,0.1420,0.3334
ABBV,186.1100,79.3600,5.7300,231.4900,0.8815,,-0.0461,-0.1014,0.0708,0.1962
ACN,316.8200,26.1400,2.9500,6.7900,0.2726,,0.0591,-0.0864,-0.1150,0.1423
ADBE,415.0900,27.3400,8.0300,13.7900,0.4728,,0.1070,-0.0535,-0.1998,-0.0667
AMD,110.7300,81.1700,6.4700,3.0900,0.0390,,0.1374,0.1089,-0.2154,-0.3365
AES,10.0900,5.5100,0.5900,2.0700,0.2979,,0.0271,-0.1138,-0.2072,-0.5068
AFL,103.5400,16.1600,3.3100,2.1300,0.1441,,-0.0420,-0.0489,-0.0751,0.1758
A,111.9200,27.6300,4.8100,5.1800,0.1888,,0.0401,-0.1232,-0.1645,-0.1354
APD,278.9100,40.5400,5.1600,4.2200,0.1045,,0.0288,-0.1124,-0.1546,0.0723
ABNB,129.0000,32.4600,7.1900,10.0600,0.3206,,0.0581,-0.0711,-0.0847,-0.1099
AKAM,75.9300,25.6100,2.7600,2.4200,0.0982,,-0.0577,-0.0589,-0.1977,-0.1768
ALB,55.7600,,1.2900,0.8400,-0.1058,,-0.0477,-0.2721,-0.4881,-0.5370
ARE,70.1900,92.1500,3.9100,0.6800,0.0073,,-0.0340,-0.3040,-0.3561,-0.3802
ALGN,180.9400,32.9300,3.2900,3.4800,0.1084,,0.0441,-0.0326,-0.2477,-0.2965
ALLE,142.7000,20.0400,3.2100,7.6400,0.4205,,0.0251,0.1132,0.0078,0.1891
LNT,62.2300,21.4700,3.9200,2.2500,0.1071,,0.0195,-0.0276,-0.0054,0.2498
ALL,209.8700,14.3400,0.8500,2.7700,0.1988,,0.0579,0.0591,0.0486,0.2709
GOOGL,171.7400,19.1500,5.8200,6.0500,0.3479,,0.0815,0.0097,0.0268,0.0004
GOOG,172.8500,19.2800,5.8200,6.0900,0.3479,,0.0743,0.0048,0.0225,-0.0017
MO,60.6100,10.1400,5.0400,,,,0.0247,0.1048,0.1084,0.4171
AMZN,205.0100,33.4400,3.3500,7.1100,0.2524,,0.1116,-0.0342,0.0177,0.1619
AMCR,9.1100,16.3500,1.5600,3.4200,0.2071,,-0.0098,-0.0998,-0.1198,-0.0713
AEE,96.8800,21.4900,3.3900,2.1400,0.1023,,-0.0238,-0.0392,0.0510,0.3632
AEP,103.4900,19.9700,2.7000,2.0200,0.1041,,-0.0362,-0.0154,0.0743,0.1898
AXP,294.0500,20.5400,2.7300,6.6100,0.3402,,0.1037,-0.0197,-0.0311,0.2391
AIG,84.6400,18.9100,1.7900,1.1900,0.0613,,0.0383,0.0254,0.1260,0.0969
AMT,214.6500,55.0800,9.5400,28.4300,0.8005,,-0.0477,0.0525,0.0520,0.1329
AWK,142.9700,26.0300,5.7900,2.6500,0.1043,,-0.0216,0.0578,0.0584,0.1190
AMP,509.2400,17.3000,2.6700,8.9700,0.5811,,0.0847,-0.0491,-0.1015,0.1812
AME,178.7400,29.2700,5.9500,4.1400,0.1496,,0.0540,-0.0541,-0.0903,0.0609
AMGN,288.1800,26.3100,4.5700,24.9600,1.0567,,-0.0007,-0.0563,-0.0031,-0.0274
APH,89.9300,43.5800,6.4800,10.5600,0.2753,,0.1687,0.3538,0.2329,0.3710
ADI,213.9800,58.2500,10.8100,3.0300,0.0521,,0.0978,-0.0658,-0.0347,-0.0723
ANSS,330.8200,49.1100,11.2600,4.7100,0.1023,,0.0278,-0.0073,-0.0605,0.0421
AON,372.0800,31.7000,4.9200,11.4800,0.7417,,0.0487,-0.0905,-0.0453,0.3263
APA,17.0100,6.1500,0.5900,1.1300,0.2534,,0.0946,-0.1648,-0.2292,-0.4174
APO,130.6900,23.0900,2.9900,4.5000,0.2117,,-0.0390,-0.1214,-0.2471,0.1403
AAPL,200.8500,31.3400,7.4900,44.9200,1.3802,,-0.0536,-0.1684,-0.1354,0.0496
AMAT,156.7500,19.0800,4.4800,6.6300,0.3637,,0.0430,-0.0055,-0.0973,-0.2643
APTV,66.8100,11.0700,0.7400,1.6700,0.1552,,0.1709,0.0260,0.1694,-0.1976
